Sequence,Position,SendDay,Subject,PreviewText,CTA,Body
Ready Defender Track,1,1,What 90% of seniors still miss about AI,You're past the basics. Here's what's actually worth your time now.,Access the Advanced AI Toolkit — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

Your quiz score put you in the Ready Defender tier — top 15 to 20 percent of everyone who takes this. You already know enough to protect yourself. You have likely already helped someone else. And you are probably a little tired of AI content that starts from zero.

So I am not going to start from zero.

Here is what most of the AI content for seniors focuses on: how to use it for basic tasks. Sending emails, asking questions, translating things into plain English. That is useful for where most people are. But that is not where you are.

What I want to talk to you about over the next two weeks is the layer most people never reach — the one where AI becomes something genuinely powerful rather than just convenient.

Here are three things that belong in that layer:

**Pattern recognition.** AI can look at a pile of information and find what doesn't fit. Medical records, financial statements, contracts — you can paste in a document and say ""Tell me what stands out as unusual here."" This is something most professionals are only just learning to use. You can use it today.

**Summarization at scale.** You can give AI a long document — a lease agreement, a Medicare explanation of benefits, a product warranty — and say ""Give me the five things I actually need to know and flag anything that concerns you."" This alone is worth its weight in gold.

**Persuasive writing with teeth.** Most people use AI to write polite letters. You can use it to write letters that move the needle — appeals, formal complaints, requests that don't get ignored — without losing professionalism.

In the next email, I am going to share the three specific prompts I use every single week. Not theory. The actual prompts.

For now, one thing: go into the Mighty Elders advanced section and get familiar with what's there. The Advanced AI Toolkit is waiting for you: https://pamperedcompanioncare.org/mighty-elders

Acie"
Ready Defender Track,2,3,Three prompts I use every single week,These are not hypothetical. This is my actual routine.,Try these prompts at https://chat.openai.com,"{{ subscriber.first_name | default: ""friend"" }},

I said I was going to give you my actual prompts, and here they are.

These are not optimized for a demo. These are what I type — or close variations of what I type — when I am doing my own work. I am handing them to you because I think they will save you real time and help you see what AI can actually do when you push past the beginner surface.

**Prompt 1: The Document Review**

I use this for anything long that needs to be understood quickly — contracts, insurance documents, medical paperwork.

""I'm going to paste in a document. Please read it carefully and do three things: first, give me a plain-English summary in five sentences or less; second, list any terms, clauses, or language that seems unusual, one-sided, or that I should ask questions about; third, tell me if there is anything missing that you would expect to see in this kind of document.""

Then I paste the document. That's it. The AI will flag things a non-lawyer could easily miss.

**Prompt 2: The Situation Advisor**

I use this when I have a complicated situation — a dispute with a business, a difficult family conversation coming up, a decision I'm uncertain about — and I want a second opinion that isn't going to charge me $200 for 15 minutes.

""I'm going to describe a situation. I want you to: tell me if I'm seeing it clearly or if I might be missing something, give me two or three options for how to respond, and for each option tell me what I might gain and what I might risk. Be direct. I don't need it softened.""

Then I describe the situation. The AI is often remarkably useful here — not because it knows my situation, but because it thinks in frameworks I might not be using.

**Prompt 3: The Weekly Catch-Up**

I use this when I want to understand something in the news — a new regulation, a health story, a technology development — without spending an hour reading contradictory articles.

""I've been hearing about [topic] and I want to understand it clearly. Explain what's actually happening, why it matters, who is affected, and what I should do (if anything) as a person who [brief description of my situation].""

Clear. Specific. Direct.

Try all three this week. You will find yourself coming back to at least one of them regularly.

Acie"
Ready Defender Track,3,6,Deepfakes are calling your family right now,This is the threat most people don't see coming. You can.,Set up a family code word — reply to this email and I'll send you a one-page guide on how to do it,"{{ subscriber.first_name | default: ""friend"" }},

I want to talk about the scam that is specifically designed to get past people like you.

You already know the basics. You can spot a suspicious email. You know the IRS doesn't call. You know not to wire money to strangers. You are not the easy target.

So scammers are using harder tools against people like you.

The technology is called deepfake audio and video. Using a few seconds of someone's recorded voice — from a voicemail, from a social media video, from a family video shared online — AI can synthesize a voice that sounds like that person. Not a robotic impression. A genuine, convincing replica that cries, laughs, and says whatever the scammer writes.

Here is the scenario: you get a call from a voice that sounds exactly like your daughter, your grandson, your closest friend. They're in trouble. They need help. The emotion in the voice is real-sounding. The details might match things only that person would know — scraped from their social media.

Americans 60 and older lost $7.7 billion to fraud last year, and this kind of AI-assisted fraud is the fastest-growing category. ([FBI Internet Crime Complaint Center 2025 Annual Report](https://www.ic3.gov/AnnualReport/Reports/2025_IC3Report.pdf))

Here is how you defend against it.

**Defense 1: The family code word.** Sit down with your immediate family and agree on a word or phrase that only your family knows. If you ever get a distress call, ask for the code word before you do anything else. The AI on the other end of the line cannot produce it.

**Defense 2: The hang-up-and-call-back rule.** No matter how real the voice sounds, if the call involves urgency and money, hang up. Call the person directly using a number you already have. Every time. Without exception.

**Defense 3: Healthy skepticism about video too.** Video deepfakes are not yet convincing enough to work on a live call in most cases — but pre-recorded video of public figures is already being used in investment scams and product promotions. If you see a video of someone famous endorsing a financial product or a medical miracle, treat it as likely fake until you verify it through a news source you already trust.

The code word strategy in particular is worth setting up this week. It takes five minutes and it creates a defense that AI cannot crack.

Acie

P.S. If this kind of threat is something you want to go deeper on, hit reply. I have more I can share."
Ready Defender Track,4,10,How to bring the people you love along,The conversation that works — and the one that backfires.,Share the Family Allies resource — https://pamperedcompanioncare.org/mighty-elders/for-families,"{{ subscriber.first_name | default: ""friend"" }},

You are past the basics. You understand AI well enough to use it, protect yourself from its misuse, and do things most of your peers can't do yet. That is a real position of strength.

And I know from talking to people at your level that the next frustration often sounds like this: ""I see what's possible, but the people around me aren't there yet. And I don't know how to bring them.""

Whether that's a spouse, a sibling, a friend from your faith community, or the older adult next door — this email is about that conversation.

Here is what doesn't work: leading with everything they're missing, explaining how dangerous it is if they don't engage, or starting with how easy it is. People who are resistant to technology have often had bad experiences with it, or they've been talked down to by someone who thought they were helping. Urgency and condescension close doors.

Here is what does work:

**Start with something specific, not general.** Don't say ""you should really learn about AI."" Say ""I've been using this thing to understand my Medicare paperwork in about five minutes — want me to show you how?"" Specific and useful beats abstract and important every time.

**Let them see it work on something that matters to them.** You sit down with them. You ask the AI a question about something they actually care about — their medication, their garden, their grandson's school situation. You show them the answer. They don't need to do anything. They just watch it work.

**Don't push for immediate adoption.** Plant the seed and leave it. Resistance to new things tends to dissolve with time and repeated exposure, not with better arguments.

**Be available, not insistent.** ""I'm here when you want to try it"" is more powerful than a scheduled lesson they feel pressured to attend.

If they have a family member who is worried about their relationship with technology, send that family member here: https://pamperedcompanioncare.org/mighty-elders/for-families

The Family Allies page gives family members language, context, and a way to support rather than restrict.

The people around you are lucky to have someone who knows this stuff. Show them, when they're ready.

Acie"
Ready Defender Track,5,14,Community Captain — a personal invite,"This is not for everyone. Based on where you are, it might be for you.",Apply for the Community Captain cohort — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

I have been thinking about what to say in this last email of the sequence, and I keep coming back to a simple idea: the most valuable thing you can do with what you know is share it.

Not because you owe it to anyone. Because it is, frankly, one of the more meaningful things a person can do with their time.

Here is what I mean.

I have been working with seniors in Dayton for years. The ones who get most lit up by this work are not the ones who learned it for themselves. They are the ones who learned it and then turned around and started teaching it. Something happens when knowledge becomes purpose. I have seen people come alive in a way I cannot fully explain.

We are building a founding cohort of Community Captains — a small group of people across the country who are ready to become local anchors for this movement. People who will run AI literacy gatherings in their communities, support newer learners, and help us figure out what Mighty Elders looks like at scale.

This is not a big time commitment. We are talking about one gathering a month, one check-in call with me every few weeks, and access to everything I know about running these conversations with seniors. We support you. You do not figure this out alone.

I am inviting people based on quiz scores and engagement — and you qualify.

If this sounds like something worth a conversation, I want you to apply. The application is short. It leads to a call with me directly. No pressure, no sales pitch — just a conversation about whether this is the right fit.

Apply here: https://pamperedcompanioncare.org/mighty-elders

Or reply to this email and tell me you're interested. I will follow up personally.

They thought you were done. They were wrong. And the people in your community are waiting for someone like you to show up and prove it.

With real respect,
Acie Grimes
Mighty Elders
(326) 467-3161"
Living Library Track,1,1,Your wisdom is the missing piece,The AI literacy movement has a gap. You are it.,Reply with the name of one person in your community who is being left behind by technology,"{{ subscriber.first_name | default: ""friend"" }},

Your score on the Mighty Elders quiz put you in the top tier — the Living Library. That means something specific: you are not the person we need to teach. You are the person who could teach.

I want to be direct with you about why I built this program, because I think it matters for what I am about to ask you.

There is a well-documented pattern in how technology rolls out in this country: it gets built by young people, marketed to young people, and explained by young people. The rest of the population — including seniors who have spent decades accumulating exactly the kind of judgment, patience, and hard-won wisdom that AI desperately needs to be used well — gets left out of the conversation. Sometimes literally left behind.

I am not interested in that pattern. I am interested in reversing it.

I wrote it down once this way: ""Seniors are living libraries of knowledge, wisdom, and experience. They should be at the forefront of artificial intelligence and technology, not left behind by it.""

That is not a polite sentiment. That is a conviction I have built this entire program around. And it is the reason I want to talk to you over these next two weeks about something specific.

The AI literacy movement that Mighty Elders is trying to build needs people who are already at the forefront. Not because we need someone to stand up and give a speech about how important seniors are — we need working, active, trusted leaders who can sit with another senior who is nervous about all of this and say: ""I know this. I can show you.""

That is what you are capable of.

More on that in the next email. For now, one question I would genuinely like you to sit with:

Who in your life — a neighbor, a fellow church member, someone in your community — is being left behind by this technology revolution? Is there one person who comes to mind?

Hit reply and tell me. I am listening.

Acie Grimes
Mighty Elders
(326) 467-3161"
Living Library Track,2,3,What being a Community Captain actually means,"The role, the time, the support — plainly stated.",Learn more about the Community Captain program — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

I do not like it when organizations describe an opportunity in vague, inspiring language and leave the practical reality somewhere in the fine print. So I am going to tell you exactly what a Mighty Elders Community Captain is, what you would actually be doing, and what support you would have.

**What the role is:**

A Community Captain is a local anchor for AI literacy in their community. You run gatherings — informal, welcoming, jargon-free — where seniors in your area can learn to use AI, ask questions, and support each other. You are not a teacher in the formal sense. You are a peer who knows more than most and is willing to share it in plain English.

**What the time commitment looks like:**

- One community gathering per month. This can be at your home, a library, a community center, a faith organization, anywhere people gather. We recommend 90 minutes.
- One check-in call with me every few weeks — 30 minutes. This is where you tell me what's working, what questions you're getting, what you need.
- Time to stay current with what we send you. This is usually 20–30 minutes a week of reading or watching.

Total: approximately 3–5 hours a month, depending on your community's appetite.

**What support you receive:**

- A complete facilitator guide and session templates — you do not build the curriculum from scratch
- A private Community Captain communication channel where you can ask questions and share what you are seeing
- Access to all Mighty Elders content before it goes public
- Direct access to me — the program and I are the same operation, and I make myself available to Captains
- Recognition on the Mighty Elders platform as a founding leader

**What this is not:**

This is not a paid position, at least not in this founding cohort. We are building the model together. If it works — and I believe it will — I want to be honest that compensation structures are part of the longer conversation. This is volunteer leadership with real support, not unpaid labor dressed up as an opportunity.

If that sounds like something worth a conversation, the next two emails will give you more context. The application call is the right next step — not a commitment, just a conversation.

Acie"
Living Library Track,3,6,A senior teaching seniors — one story,This is what it looks like when it actually works.,Reply to this email to let Acie know you're considering applying — acie@pamperedcompanioncare.org,"{{ subscriber.first_name | default: ""friend"" }},

I want to tell you about a woman I will call Dorothy. She is 74 years old, lives in a mid-sized city in the Midwest, and spent 30 years as an elementary school teacher before she retired. She took a version of our AI quiz early on and scored in the top tier — she had been quietly teaching herself AI tools for about a year and had not told anyone.

When I asked her why she hadn't told anyone, she said: ""I didn't want them to think I was showing off. Or that I'd lost my mind.""

That is the sentence I keep coming back to. Here is a woman with decades of teaching experience, genuine expertise in a technology most of her peers don't understand, and her first instinct is to hide it because she is worried about what people will think.

We talked about that. She started hosting a monthly gathering in the community room of her apartment building. Six people showed up to the first one. By the third month, there were nineteen people on the list and she had to turn people away. She started a waitlist.

What she did in those gatherings was not complicated. She sat with people. She let them ask questions without making them feel slow. She ran the same exercises I shared with you — the thank-you note, the medication research prompt, the document review. And when someone's voice cracked because they finally understood something that had scared them for two years, she did not make it a moment. She just moved on to the next question.

That is the skill. Not the technology. The ability to sit in a room with someone who is afraid and make them feel competent before they leave.

You have that skill. I am confident of that based on where you scored and what that kind of score tells me about the kind of person who gets there.

The question is whether you want to use it this way.

Acie

P.S. Dorothy's story is a composite drawn from multiple people I have worked with. The pattern it describes is real."
Living Library Track,4,10,"Criteria, commitment, and the call — plainly stated",No surprises. Here is exactly how the application works.,Apply or get in touch — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

Before I ask you to apply, I want to be transparent about what we are looking for — because I think you deserve to know whether this is actually a fit before you spend time on it.

**Who we are looking for in the founding cohort:**

We are not looking for perfection. We are looking for a specific combination of things:

- AI literacy at or near the top tier (which your quiz score confirms)
- Some history of working with other people — whether as a teacher, a community leader, a faith organizer, a parent, a manager, or any role where you helped someone learn or navigate something difficult
- A community where you actually know people. The strongest Captains are ones who already have relationships in a specific group — a church, a neighborhood, a senior center, an apartment building, a cultural community
- The willingness to be in a founding cohort, which means some things will be figured out as we go. I am honest about that.

**What you do not need:**

- A technology background
- Public speaking experience (these are small gatherings, not lectures)
- Your own materials — we provide those
- Any certainty yet. You can be genuinely uncertain and still be exactly the right person.

**What the application call is:**

It is a 30-minute conversation with me. No panel. No formal questions I'm scoring you on. I want to hear about the community you're in, what draws you to this work, and what you're uncertain about. I will tell you honestly whether I think it's a fit and why.

If it is not the right fit right now, I will tell you that too, and I will tell you what I think the right fit looks like.

To apply, reply to this email or go to: https://pamperedcompanioncare.org/mighty-elders

Acie
(326) 467-3161"
Living Library Track,5,14,The founding cohort — apply before we close the door,We are accepting a small group. This is the last email I'll send about it.,Apply for the founding Community Captain cohort — https://pamperedcompanioncare.org/mighty-elders,"{{ subscriber.first_name | default: ""friend"" }},

This is the last email in this sequence, and I want to say a few things plainly.

First: whatever you take from these emails is already worth something. You came in with a strong score, and I hope these two weeks gave you context, language, and maybe a few things you will put to use. That alone matters.

Second: I meant everything I wrote. The role of Community Captain is real, the need is real, and the gap in the AI literacy conversation — the gap where seniors should be teaching seniors — is not going to close by itself. It closes because specific people decide to fill it.

Third: the founding cohort is small. I am not running a mass enrollment. I am looking for a group of people who are genuinely interested, genuinely equipped, and genuinely embedded in a community that needs this work. I have described the role, the time commitment, the support, and the criteria. You have enough to decide.

If you want to apply, do it this week. The application is a short form that leads to a call with me. I read every application myself, and I respond to every one.

Apply here: https://pamperedcompanioncare.org/mighty-elders

If you have a family member who has been supporting you on this journey — an adult child, a grandchild, a friend who encouraged you to take the quiz — feel free to share what Mighty Elders is doing with them: https://pamperedcompanioncare.org/mighty-elders/for-families

And whether you apply or not: thank you. You took the quiz. You read the emails. You stayed curious. In a world that spent a long time telling people your age to step back and let the young people handle the future, you refused to accept that framing.

They thought you were done. They were wrong.

Acie Grimes
Mighty Elders
Dayton, Ohio
(326) 467-3161
acie@pamperedcompanioncare.org"
